|lat|lon|season|fishingHours|fishingDays|meanFishingHours|meanFishingDays|nCount|medianFishingHoursPerMonth|flagOne|cuantilDays|cuantilHours|decilDays|decilHours|logFishingHours|logFishingDays|lonTimesFishing|sumfishingHoursPerMonth|distance|fishingHoursTimesDistance
119|-18.2|-73.4|verano|0.71|1.0|0.71|1.0|1|0.71|1|3|10|1|1|-0.342490308946776|0.0|-0.2581951425946761|201.83958333333334|1.7885897191362854|4.0126211760912204e-06
120|-18.2|-73.3|verano|0.72|1.0|0.72|1.0|1|0.72|1|3|10|1|1|-0.3285040669720361|0.0|-0.2614749749698089|201.83958333333334|1.7537821991438973|3.989948003604715e-06
121|-18.2|-73.2|verano|5.6899999999999995|1.0|5.6899999999999995|1.0|4|5.6899999999999995|1|3|52|1|6|1.7387102481382395|0.0|-2.0635595512112546|201.83958333333334|1.7122711248222333|3.078533481750599e-05
122|-18.2|-72.9|verano|13.62|2.0|6.81|1.0|6|3.5549999999999997|1|4|57|1|6|2.611539300721366|0.6931471805599453|-1.2839874900653365|201.83958333333334|1.5391767495645228|6.624066502673914e-05
123|-18.2|-72.8|verano|4.38|2.0|2.19|1.0|4|2.19|1|4|30|1|3|1.4770487243883548|0.6931471805599453|-0.7898946151543613|201.83958333333334|1.4851144960574572|2.055384748716147e-05
124|-18.2|-72.7|verano|1.94|1.0|1.94|1.0|2|1.94|1|4|27|1|3|0.6626879730752367|0.0|-0.6987628376495361|201.83958333333334|1.4342319662453544|8.791848782628413e-06
125|-18.2|-72.6|verano|15.14|1.0|15.14|1.0|12|15.14|1|4|74|1|8|2.717340248009303|0.0|-5.445730623535605|201.83958333333334|1.3733909873375394|6.57020847649802e-05
126|-18.2|-72.5|verano|12.93|1.0|12.93|1.0|10|12.93|1|4|71|1|8|2.559550192783766|0.0|-4.644406139363975|201.83958333333334|1.3171730349881867|5.381463984925641e-05
127|-18.2|-72.4|verano|3.1399999999999997|1.0|3.1399999999999997|1.0|3|3.1399999999999997|1|4|38|1|4|1.144222799920162|0.0|-1.1263202006543975|201.83958333333334|1.2663675627952569|1.2564595390227275e-05
128|-18.2|-72.3|verano|2.24|2.0|1.12|1.0|3|1.12|1|4|17|1|2|0.8064758658669485|0.6931471805599453|-0.4011898888349865|201.83958333333334|1.1918539736477702|8.4358752555754e-06
129|-18.2|-72.2|verano|24.369999999999997|3.0|8.123333333333333|1.0|28|2.31|1|4|61|1|7|3.1933528676371146|1.0986122886681098|-0.8263096724915621|201.83958333333334|1.1057720807200695|8.5149133243073e-05
130|-18.2|-72.1|verano|57.599999999999994|5.0|19.2|1.6666666666666667|44|6.08|1|80|77|8|8|4.053522567701846|1.6094379124341003|-2.171863381604616|201.83958333333334|1.0222269290622208|0.00018604966098224768
131|-18.2|-72.0|verano|28.01|4.0|7.0025|1.0|24|2.775|1|4|58|1|6|3.332561589272017|1.3862943611198906|-0.9898950280234922|201.83958333333334|0.9418937809010045|8.336315065509572e-05
132|-18.2|-71.9|verano|16.310000000000002|4.0|4.077500000000001|1.0|18|2.855|1|4|45|1|5|2.7917784166329227|1.3862943611198906|-1.0170180527027446|201.83958333333334|0.8656673116734848|4.461327049149854e-05
133|-18.2|-71.8|verano|33.51|3.0|11.17|1.0|25|4.09|1|4|68|1|7|3.511843901749219|1.0986122886681098|-1.4549276962934672|201.83958333333334|0.7947300765039595|8.41498137257369e-05
134|-18.2|-71.7|verano|37.55|3.0|12.516666666666666|1.0|39|4.616666666666666|1|4|70|1|7|3.6256733782101436|1.0986122886681098|-1.6399905040099914|201.83958333333334|0.730624318305924|8.668883101247596e-05
